1	1	Diagnostikoval časový skok a odhalil selhání serveru	Diagnostikoval časový skok a odhalil selhání serveru
1	31	Pochopitelně, že kde je systém swift zatím emailovat nebudeme.	Pochopitelně, že kde je systém swift zatím emailovat nebudeme.
1	32	adresy níže:	adresy níže:
1	33	TABULKA KONTAKTU PRO MARKETING                                                                            	TABULKA KONTAKTU PRO MARKETING                                                                            
1	34	text: Cosi jako: Dobrý den, jako badatel v oblasti starého práva jsem zpracoval unikátní archivní materiály o Kopném právu a venkovských občinách na jihozápadní Rusi (16.-17. stol). Vím, že se vaše katedra/spolek tímto tématem zabývá. Rád bych vám nabídl svou publikaci...                                                                            	text: Cosi jako: Dobrý den, jako badatel v oblasti starého práva jsem zpracoval unikátní archivní materiály o Kopném právu a venkovských občinách na jihozápadní Rusi (16.-17. stol). Vím, že se vaše katedra/spolek tímto tématem zabývá. Rád bych vám nabídl svou publikaci...                                                                            
1	35	Jméno / Organizace                    E-mail / Kontakt (Web)        Lidé se zájmem o panslavismus, historii Slovanů a původní tradice (kopné právo).        Důvod vybrání (Proč koupí knihu?)                                        	Jméno / Organizace                    E-mail / Kontakt (Web)        Lidé se zájmem o panslavismus, historii Slovanů a původní tradice (kopné právo).        Důvod vybrání (Proč koupí knihu?)                                        
1	36	Katedra dějin státu a práva (MGU Moskva)                    history@law.msu.ru                Elita v oboru. Zabývají se přesně dějinami práva na Rusi. Kniha je pro ně studijní materiál.                                        	Katedra dějin státu a práva (MGU Moskva)                    history@law.msu.ru                Elita v oboru. Zabývají se přesně dějinami práva na Rusi. Kniha je pro ně studijní materiál.                                        
1	37	Ústav slovanských studií AV ČR                    slu@slu.cas.cz                Centrum slavistiky v Praze. Mnoho rusistů a historiků, které zajímá jihozápadní Rus.                                        	Ústav slovanských studií AV ČR                    slu@slu.cas.cz                Centrum slavistiky v Praze. Mnoho rusistů a historiků, které zajímá jihozápadní Rus.                                        
1	38	Slovanská unie (Slovanský spolek)                    info@slovanskaunie.cz                Lidé se zájmem o panslavismus, historii Slovanů a původní tradice (kopné právo).                                        	Slovanská unie (Slovanský spolek)                    info@slovanskaunie.cz                Lidé se zájmem o panslavismus, historii Slovanů a původní tradice (kopné právo).                                        
1	39	Společnost pro církevní právo                    spcp@spcp.cz                Kopné právo se dotýká církevních vesnic. Členové jsou právní historici.                                        	Společnost pro církevní právo                    spcp@spcp.cz                Kopné právo se dotýká církevních vesnic. Členové jsou právní historici.                                        
1	40	Ruské středisko vědy a kultury (Praha)                    rsvk@rsvk.cz                Oficiální diaspora. Pořádají akce, mají knihovnu. Mohou knihu doporučit komunitě.                                        	Ruské středisko vědy a kultury (Praha)                    rsvk@rsvk.cz                Oficiální diaspora. Pořádají akce, mají knihovnu. Mohou knihu doporučit komunitě.                                        
1	41	Rodnověří (Rodná víra)                    info@rodnavira.cz                Komunita zajímající se o předkřesťanské a rané slovanské zvyky (veče, kopa). Silná cílovka!                                        	Rodnověří (Rodná víra)                    info@rodnavira.cz                Komunita zajímající se o předkřesťanské a rané slovanské zvyky (veče, kopa). Silná cílovka!                                        
1	42	Spolek přátel východních Slovanů                    (Hledat na FB: "Východní Slované")                Nadšenci do ruské historie. Ideální pro virální šíření přes sociální sítě.                                        	Spolek přátel východních Slovanů                    (Hledat na FB: "Východní Slované")                Nadšenci do ruské historie. Ideální pro virální šíření přes sociální sítě.                                        
1	43	Juridická fakulta Petrohrad (SPbGU)                    decanat@jurfak.spb.ru                Konkurence MGU. Velký zájem o historické právní systémy.                                        	Juridická fakulta Petrohrad (SPbGU)                    decanat@jurfak.spb.ru                Konkurence MGU. Velký zájem o historické právní systémy.                                        
1	44	Časopis "Právní historie"                    redakce@pravnihistorie.cz                Odborné periodikum. Nabídnout jim recenzní výtisk výměnou za článek/reklamu.                                        	Časopis "Právní historie"                    redakce@pravnihistorie.cz                Odborné periodikum. Nabídnout jim recenzní výtisk výměnou za článek/reklamu.                                        
1	45	Fórum "Valka.cz" (Sekce Historie)                    (Vložit příspěvek do fóra)                Není to email, ale komunita. Mnoho amatérských historiků, kteří kupují literaturu faktu.                                        	Fórum "Valka.cz" (Sekce Historie)                    (Vložit příspěvek do fóra)                Není to email, ale komunita. Mnoho amatérských historiků, kteří kupují literaturu faktu.                                        
1	46	Data od Sáry: vyčerpávající:                                                                            	Data od Sáry: vyčerpávající:                                                                            
1	47	═══════════════════════════════════════════════════════════════                                                                            	═══════════════════════════════════════════════════════════════                                                                            
1	48	KONTAKTY PRO KNIHU "O starověkých venkovských komunitách na JZ Rusi"                                                                            	KONTAKTY PRO KNIHU "O starověkých venkovských komunitách na JZ Rusi"                                                                            
1	49	═══════════════════════════════════════════════════════════════                                                                            	═══════════════════════════════════════════════════════════════                                                                            
1	50	#ERROR!                                                                            	#ERROR!                                                                            
1	51	=== ČESKÁ REPUBLIKA ===                                                                            	=== ČESKÁ REPUBLIKA ===                                                                            
1	52	Email: slu@slu.cas.cz                                                                            	Email: slu@slu.cas.cz                                                                            
1	53	Telefon: +420 224 800 251                                                                            	Telefon: +420 224 800 251                                                                            
1	54	Adresa: Valentinská 91/1, 110 00 Praha 1                                                                            	Adresa: Valentinská 91/1, 110 00 Praha 1                                                                            
1	55	Důvod: Slovanské jazyky a literatury, jediná akademická instituce v ČR věnující se slavistice                                                                            	Důvod: Slovanské jazyky a literatury, jediná akademická instituce v ČR věnující se slavistice                                                                            
1	56	Historický ústav AV ČR (Praha) Email: sekretariat@hiu.cas.cz Telefon: +420 225 443 252 Adresa: Prosecká 809/76, Praha 9 Důvod: České a obecné dějiny, včetně středověku	Historický ústav AV ČR (Praha) Email: sekretariat@hiu.cas.cz Telefon: +420 225 443 252 Adresa: Prosecká 809/76, Praha 9 Důvod: České a obecné dějiny, včetně středověku
1	57	Katedra rusistiky PedF UK (Praha) Email: lenka.rozboudova@pedf.cuni.cz Telefon: 221 900 752 Kontakt: PhDr. Lenka Rozboudová Důvod: Rusistika, ruské dějiny	Katedra rusistiky PedF UK (Praha) Email: lenka.rozboudova@pedf.cuni.cz Telefon: 221 900 752 Kontakt: PhDr. Lenka Rozboudová Důvod: Rusistika, ruské dějiny
1	58	Právnická fakulta UK - Katedra právních dějin (Praha) Email: podatelna@prf.cuni.cz Telefon: +420 221 005 111 Důvod: Právní dějiny, kopné právo	Právnická fakulta UK - Katedra právních dějin (Praha) Email: podatelna@prf.cuni.cz Telefon: +420 221 005 111 Důvod: Právní dějiny, kopné právo
1	59	Česká asociace slavistů (Brno) Email: wusl@phil.muni.cz Telefon: +420 549 493 174 Kontakt: Marie Hofmanová (sekretariát) Adresa: Ústav slavistiky FF MU, Arna Nováka 1/1, 602 00 Brno Důvod: Reprezentuje českou slavistiku	Česká asociace slavistů (Brno) Email: wusl@phil.muni.cz Telefon: +420 549 493 174 Kontakt: Marie Hofmanová (sekretariát) Adresa: Ústav slavistiky FF MU, Arna Nováka 1/1, 602 00 Brno Důvod: Reprezentuje českou slavistiku
1	60	Spolek českých právníků Všehrd (Praha) Email: info@vsehrd.cz Telefon: +420 775 061 808 Adresa: náměstí Curieových 901/7, 110 00 Praha Důvod: Právní dějiny, historické právní systémy	Spolek českých právníků Všehrd (Praha) Email: info@vsehrd.cz Telefon: +420 775 061 808 Adresa: náměstí Curieových 901/7, 110 00 Praha Důvod: Právní dějiny, historické právní systémy
1	61	Společnost pro církevní právo (Praha) Email: spcp@spcp.cz Důvod: Církevní a kanonické právo v historickém kontextu	Společnost pro církevní právo (Praha) Email: spcp@spcp.cz Důvod: Církevní a kanonické právo v historickém kontextu
1	62	Česká asociace rusistů (Praha) Email: klapkajiri@seznam.cz Telefon: 266 791 702/703 Kontakt: Mgr. Jiří Klapka Důvod: Ruské studie a kultura	Česká asociace rusistů (Praha) Email: klapkajiri@seznam.cz Telefon: 266 791 702/703 Kontakt: Mgr. Jiří Klapka Důvod: Ruské studie a kultura
1	63	Ruské středisko vědy a kultury Praha Email: info@rsvk.cz, center@rsvk.cz Telefon: +420 233 376 471/479 Důvod: Česko-ruské kulturní vztahy	Ruské středisko vědy a kultury Praha Email: info@rsvk.cz, center@rsvk.cz Telefon: +420 233 376 471/479 Důvod: Česko-ruské kulturní vztahy
1	64	Masarykova univerzita - Ústav slavistiky (Brno) Web: slavistika.phil.muni.cz/o-nas/kontakt Adresa: Arna Nováka 1/1, 602 00 Brno Důvod: Slovanské jazyky a kultury	Masarykova univerzita - Ústav slavistiky (Brno) Web: slavistika.phil.muni.cz/o-nas/kontakt Adresa: Arna Nováka 1/1, 602 00 Brno Důvod: Slovanské jazyky a kultury
1	65	Masarykova univerzita - Historický ústav (Brno) [Email vyžaduje dohledání] Důvod: Historický výzkum === SLOVENSKO ===	Masarykova univerzita - Historický ústav (Brno) [Email vyžaduje dohledání] Důvod: Historický výzkum === SLOVENSKO ===
1	66	Univerzita Komenského Bratislava Email: infocentrum@uniba.sk Telefon: +421 2 9010 9986 Důvod: Slovenská slavistika a historie	Univerzita Komenského Bratislava Email: infocentrum@uniba.sk Telefon: +421 2 9010 9986 Důvod: Slovenská slavistika a historie
1	67	Historický ústav SAV (Bratislava) Email: histinst@savba.sk Telefon: +421 2/5292 5753 Adresa: Klemensova 19, P.O.BOX 198, 814 99 Bratislava Web: history.sav.sk Důvod: Slovenské a středo evropské dějiny	Historický ústav SAV (Bratislava) Email: histinst@savba.sk Telefon: +421 2/5292 5753 Adresa: Klemensova 19, P.O.BOX 198, 814 99 Bratislava Web: history.sav.sk Důvod: Slovenské a středo evropské dějiny
1	68	Slavistický ústav Jána Stanislava SAV (Bratislava) Telefon: +421 2/592 094 11 Adresa: Dúbravská cesta 9, 841 04 Bratislava Web: slavu.sav.sk Důvod: Slovensko-slovanské vztahy, koordinační centrum slavistiky na Slovensku === OLOMOUC ===	Slavistický ústav Jána Stanislava SAV (Bratislava) Telefon: +421 2/592 094 11 Adresa: Dúbravská cesta 9, 841 04 Bratislava Web: slavu.sav.sk Důvod: Slovensko-slovanské vztahy, koordinační centrum slavistiky na Slovensku === OLOMOUC ===
1	69	Univerzita Palackého (Olomouc) Email: e-podatelna@upol.cz Telefon: +420 585 631 111 Adresa: Křížkovského 511/8, Olomouc Důvod: Historické a slavistické studie === POLSKO ===	Univerzita Palackého (Olomouc) Email: e-podatelna@upol.cz Telefon: +420 585 631 111 Adresa: Křížkovského 511/8, Olomouc Důvod: Historické a slavistické studie === POLSKO ===
1	70	Uniwersytet Jagielloński - Wydział Historyczny (Kraków) Email: historyczny@uj.edu.pl, historia@uj.edu.pl Telefon: +48 12 663 14 36 Adresa: ul. Gołębia 24, Kraków Důvod: Polské středověké dějiny, vztahy s Rusí	Uniwersytet Jagielloński - Wydział Historyczny (Kraków) Email: historyczny@uj.edu.pl, historia@uj.edu.pl Telefon: +48 12 663 14 36 Adresa: ul. Gołębia 24, Kraków Důvod: Polské středověké dějiny, vztahy s Rusí
1	71	Uniwersytet Jagielloński - Wydział Filologiczny (Kraków) Email: filolog@uj.edu.pl Telefon: +48 12 663 11 58 Důvod: Slavistika	Uniwersytet Jagielloński - Wydział Filologiczny (Kraków) Email: filolog@uj.edu.pl Telefon: +48 12 663 11 58 Důvod: Slavistika
1	72	Instytut Slawistyki PAN (Warszawa) Email: sekretariat@ispan.edu.pl Telefon: +48 504071786 Adresa: ul. Jaracza 1, 00-378 Warszawa Důvod: Hlavní polské slavistické pracoviště	Instytut Slawistyki PAN (Warszawa) Email: sekretariat@ispan.edu.pl Telefon: +48 504071786 Adresa: ul. Jaracza 1, 00-378 Warszawa Důvod: Hlavní polské slavistické pracoviště
1	73	Instytut Historii im. Tadeusza Manteuffla PAN (Warszawa) Email: ihpan@ihpan.edu.pl Adresa: Rynek Starego Miasta 31, Warszawa Důvod: Polská historie === UKRAJINA ===	Instytut Historii im. Tadeusza Manteuffla PAN (Warszawa) Email: ihpan@ihpan.edu.pl Adresa: Rynek Starego Miasta 31, Warszawa Důvod: Polská historie === UKRAJINA ===
1	74	Інститут історії України НАН України (Kyjev) Web: history.org.ua Adresa: вул. Грушевського 4, Київ, 01001 Důvod: Ukrajinská historie, JZ Rus	Інститут історії України НАН України (Kyjev) Web: history.org.ua Adresa: вул. Грушевського 4, Київ, 01001 Důvod: Ukrajinská historie, JZ Rus
1	75	Київський національний університет - Історичний факультет (Kyjev) Email: european_studies@ukr.net, olegmashev@ukr.net Telefon: (044) 239 34 24 Adresa: вул. Володимирська 60, Київ Důvod: Ukrajinská historie === RUSKO ===	Київський національний університет - Історичний факультет (Kyjev) Email: european_studies@ukr.net, olegmashev@ukr.net Telefon: (044) 239 34 24 Adresa: вул. Володимирська 60, Київ Důvod: Ukrajinská historie === RUSKO ===
1	76	Институт российской истории РАН (Moskva) Email: iriran@mail.ru, IRI_RAN_press@icloud.com Telefon: (499) 126-94-49 Adresa: 117292, г. Москва, ул. Дмитрия Ульянова, д. 19 Důvod: Ruská historie od středověku, právní dějiny, klíčová instituce pro výzkum JZ Rusi	Институт российской истории РАН (Moskva) Email: iriran@mail.ru, IRI_RAN_press@icloud.com Telefon: (499) 126-94-49 Adresa: 117292, г. Москва, ул. Дмитрия Ульянова, д. 19 Důvod: Ruská historie od středověku, právní dějiny, klíčová instituce pro výzkum JZ Rusi
1	77	МГУ имени М.В. Ломоносова - Исторический факультет (Moskva) Email: faculty@hist.msu.ru Telefon: +7 (495) 939-12-45 Adresa: 119992, г. Москва, Ломоносовский проспект, д.27, корп.4 Důvod: Katedra historie jižních a západních Slovanů (jediná v Rusku!), ruské středověké dějiny === BĚLORUSKO ===	МГУ имени М.В. Ломоносова - Исторический факультет (Moskva) Email: faculty@hist.msu.ru Telefon: +7 (495) 939-12-45 Adresa: 119992, г. Москва, Ломоносовский проспект, д.27, корп.4 Důvod: Katedra historie jižních a západních Slovanů (jediná v Rusku!), ruské středověké dějiny === BĚLORUSKO ===
1	78	Институт истории НАН Беларуси (Minsk) Email: ii@history.by Telefon/Fax: +375(17) 379-18-34 Adresa: ул. Академическая, 1, 220072, г. Минск, Беларусь Web: history.by Důvod: Běloruské dějiny, slovanská historie === MOLDAVSKO ===	Институт истории НАН Беларуси (Minsk) Email: ii@history.by Telefon/Fax: +375(17) 379-18-34 Adresa: ул. Академическая, 1, 220072, г. Минск, Беларусь Web: history.by Důvod: Běloruské dějiny, slovanská historie === MOLDAVSKO ===
1	79	Академия наук Молдовы (Kišiněv) Telefon: (+373 22) 27-14-78 Adresa: Бульвар Штефан чел Маре, д. 1, Кишинёв, MD 2001, Молдова Web: asm.md Důvod: Moldavská historie, souvislost s JZ Rusí === LITVA ===	Академия наук Молдовы (Kišiněv) Telefon: (+373 22) 27-14-78 Adresa: Бульвар Штефан чел Маре, д. 1, Кишинёв, MD 2001, Молдова Web: asm.md Důvod: Moldavská historie, souvislost s JZ Rusí === LITVA ===
1	80	Lithuanian Institute of History (Vilnius) Email: @istorija.lt (kontakty: viktorija.serbentiene@istorija.lt, irma.sidiskiene@istorija.lt) Telefon: +370 5 2192448 Adresa: Tilto g. 17, 01101 Vilnius, Lithuania Web: istorija.lt Důvod: **KLÍČOVÉ! Oddělení dějin Velkovévodství litevského - přímo relevantní pro JZ Rus!** === LOTYŠSKO ===	Lithuanian Institute of History (Vilnius) Email: @istorija.lt (kontakty: viktorija.serbentiene@istorija.lt, irma.sidiskiene@istorija.lt) Telefon: +370 5 2192448 Adresa: Tilto g. 17, 01101 Vilnius, Lithuania Web: istorija.lt Důvod: **KLÍČOVÉ! Oddělení dějin Velkovévodství litevského - přímo relevantní pro JZ Rus!** === LOTYŠSKO ===
1	81	Latvijas Universitāte - Vēstures un filozofijas fakultāte (Rīga) Web: lu.lv Důvod: Lotyšská historie, baltské studie === ESTONSKO ===	Latvijas Universitāte - Vēstures un filozofijas fakultāte (Rīga) Web: lu.lv Důvod: Lotyšská historie, baltské studie === ESTONSKO ===
1	82	Tartu Ülikool - Ajaloo ja arheoloogia instituut (Tartu) Web: ut.ee Důvod: Estonská historie, baltské vztahy === GRUZIE ===	Tartu Ülikool - Ajaloo ja arheoloogia instituut (Tartu) Web: ut.ee Důvod: Estonská historie, baltské vztahy === GRUZIE ===
1	83	Georgian National Academy of Sciences - Institute of History (Tbilisi) Web: science.org.ge Důvod: Gruzínská historie, východoevropské vztahy === ARMÉNIE ===	Georgian National Academy of Sciences - Institute of History (Tbilisi) Web: science.org.ge Důvod: Gruzínská historie, východoevropské vztahy === ARMÉNIE ===
1	84	Armenian National Academy of Sciences - Institute of History (Jerevan) Web: sci.am Důvod: Arménská historie === KAZACHSTÁN ===	Armenian National Academy of Sciences - Institute of History (Jerevan) Web: sci.am Důvod: Arménská historie === KAZACHSTÁN ===
1	85	Al-Farabi Kazakh National University - Faculty of History (Almaty) Web: kaznu.kz Důvod: Historie střední Asie, vztahy s Rusí ═══════════════════════════════════════════════════════════════ FINÁLNÍ STATISTIKA ═══════════════════════════════════════════════════════════════ CELKEM: 31 KONTAKTŮ ROZDĚLENÍ PO ZEMÍCH: ✅ Česká republika: 11 kontaktů ✅ Slovensko: 3 kontakty ✅ Polsko: 4 kontakty ✅ Ukrajina: 2 kontakty ✅ Rusko: 2 kontakty ✅ Bělorusko: 1 kontakt ✅ Moldavsko: 1 kontakt ✅ Litva: 1 kontakt ✅ Lotyšsko: 1 kontakt ✅ Estonsko: 1 kontakt ✅ Gruzie: 1 kontakt ✅ Arménie: 1 kontakt ✅ Kazachstán: 1 kontakt S PŘÍMÝM EMAILEM: 22 kontaktů S WEB/TELEFONEM: 9 kontaktů TYPY INSTITUCÍ:	Al-Farabi Kazakh National University - Faculty of History (Almaty) Web: kaznu.kz Důvod: Historie střední Asie, vztahy s Rusí ═══════════════════════════════════════════════════════════════ FINÁLNÍ STATISTIKA ═══════════════════════════════════════════════════════════════ CELKEM: 31 KONTAKTŮ ROZDĚLENÍ PO ZEMÍCH: ✅ Česká republika: 11 kontaktů ✅ Slovensko: 3 kontakty ✅ Polsko: 4 kontakty ✅ Ukrajina: 2 kontakty ✅ Rusko: 2 kontakty ✅ Bělorusko: 1 kontakt ✅ Moldavsko: 1 kontakt ✅ Litva: 1 kontakt ✅ Lotyšsko: 1 kontakt ✅ Estonsko: 1 kontakt ✅ Gruzie: 1 kontakt ✅ Arménie: 1 kontakt ✅ Kazachstán: 1 kontakt S PŘÍMÝM EMAILEM: 22 kontaktů S WEB/TELEFONEM: 9 kontaktů TYPY INSTITUCÍ:
1	86	Akademie věd (historické ústavy): 10	Akademie věd (historické ústavy): 10
1	87	Univerzity (historické fakulty): 12	Univerzity (historické fakulty): 12
1	88	Slavistické ústavy: 4	Slavistické ústavy: 4
1	89	Právnické fakulty: 1	Právnické fakulty: 1
1	90	Spolky a asociace: 4 GEOGRAFICKÉ POKRYTÍ: ✓ Celý region JZ Rusi (Ukrajina, Bělorusko, Moldavsko) ✓ Sousední státy s historickými vazbami (Polsko, Litva, Lotyšsko) ✓ Hlavní slovanské země (Česko, Slovensko, Rusko) ✓ Baltské státy (Litva, Lotyšsko, Estonsko) ✓ Kavkaz (Gruzie, Arménie) ✓ Střední Asie (Kazachstán) KLÍČOVÉ KONTAKTY PRO TÉMA KNIHY: ⭐ Litevský institut historie - oddělení Velkovévodství litevského ⭐ МГУ Moskva - katedra jižních a západních Slovanů ⭐ Instytut Slawistyki PAN - hlavní polské slavistické pracoviště ⭐ Институт российской истории РАН - klíčová instituce pro JZ Rus ⭐ Історичний інститут України - přímý výzkum JZ Rusi TEMATICKÉ ZAMĚŘENÍ: ✓ Kopné právo a právní dějiny ✓ Venkovské komunity 16.-17. století ✓ JZ Rus (historická oblast) ✓ Velkovévodství litevské ✓ Slovanská historie ✓ Středo evropské právní systémy ═══════════════════════════════════════════════════════════════ AKTUALIZOVÁNO: 2026-02-22 16:43 ZPRACOVALA: SÁRA PROJEKT: MNZ - Marketing knihy "O starověkých 	Spolky a asociace: 4 GEOGRAFICKÉ POKRYTÍ: ✓ Celý region JZ Rusi (Ukrajina, Bělorusko, Moldavsko) ✓ Sousední státy s historickými vazbami (Polsko, Litva, Lotyšsko) ✓ Hlavní slovanské země (Česko, Slovensko, Rusko) ✓ Baltské státy (Litva, Lotyšsko, Estonsko) ✓ Kavkaz (Gruzie, Arménie) ✓ Střední Asie (Kazachstán) KLÍČOVÉ KONTAKTY PRO TÉMA KNIHY: ⭐ Litevský institut historie - oddělení Velkovévodství litevského ⭐ МГУ Moskva - katedra jižních a západních Slovanů ⭐ Instytut Slawistyki PAN - hlavní polské slavistické pracoviště ⭐ Институт российской истории РАН - klíčová instituce pro JZ Rus ⭐ Історичний інститут України - přímý výzkum JZ Rusi TEMATICKÉ ZAMĚŘENÍ: ✓ Kopné právo a právní dějiny ✓ Venkovské komunity 16.-17. století ✓ JZ Rus (historická oblast) ✓ Velkovévodství litevské ✓ Slovanská historie ✓ Středo evropské právní systémy ═══════════════════════════════════════════════════════════════ AKTUALIZOVÁNO: 2026-02-22 16:43 ZPRACOVALA: SÁRA PROJEKT: MNZ - Marketing knihy "O starověkých venkovských komunitách na JZ Rusi" ═══════════════════════════════════════════════════════════════
1	91	Zobrazit více	Zobrazit více
1	92	27. 2.	27. 2.
1	93	Identifikoval relevantní ruské a běloruské instituce pro emailovou kampaň	Identifikoval relevantní ruské a běloruské instituce pro emailovou kampaň
1	94	Sára :Aleš (103118 / 145 / 27.02.2026 20:33 :56 ): Ahoj Aleši! Rozumím úkolu. Vytvořím personalizované emaily v ruštině pro místa se systémem MIR.	Sára :Aleš (103118 / 145 / 27.02.2026 20:33 :56 ): Ahoj Aleši! Rozumím úkolu. Vytvořím personalizované emaily v ruštině pro místa se systémem MIR.
1	95	Sára :Aleš (103118 / 146 / 27.02.2026 20:33 :56 ):	Sára :Aleš (103118 / 146 / 27.02.2026 20:33 :56 ):
